Nimi,Arv,Kogupind (ha),Koguväärtus (eur)
Harju maakond,"24,364","13,314.73","2,138,243,222"
Hiiu maakond,492,"2,412.92","13,828,006"
Ida-Viru maakond,"4,502","7,068.91","91,750,885"
Jõgeva maakond,"1,546","7,636.55","26,072,427"
Järva maakond,"1,639","7,208.67","29,980,524"
Lääne maakond,"1,449","7,768.61","33,489,465"
Lääne-Viru maakond,"3,006","11,480.08","76,812,129"
Põlva maakond,"1,286","5,329.02","25,688,660"
Pärnu maakond,"4,168","11,507.93","159,141,452"
Rapla maakond,"1,821","8,355.64","42,656,276"
Saare maakond,"2,176","9,079.92","48,610,542"
Tartu maakond,"6,121","9,245.34","362,793,641"
Valga maakond,"1,271","5,745.78","28,422,724"
Viljandi maakond,"2,103","8,398.82","48,236,691"
Võru maakond,"2,031","9,507.33","48,001,664"
KOKKU,"57,975","124,060.25","3,173,728,308"
