Nimi,Arv,Kogupind (ha),Koguväärtus (eur)
Harju maakond,23 002,9 642.43,2 251 669 215
Hiiu maakond,408,1 565,86.7 809 850
Ida-Viru maakond,3 601,5 323.13,103 396 283
Jõgeva maakond,1 571,7 891.13,34 715 803
Järva maakond,1 403,6 411.78,29 950 051
Lääne maakond,1 218,4 060,56.32 340 225
Lääne-Viru maakond,2 713,9 636.91,69 893 477
Põlva maakond,1 041,4 636.42,22 353 540
Pärnu maakond,3 502,8 337.23,161 092 670
Rapla maakond,1 521,7 249.04,40 915 592
Saare maakond,1 975,7 648.83,44 629 829
Tartu maakond,5 176,6 760.90,325 435 492
Valga maakond,1 134,4 461.35,24 610 252
Viljandi maakond,1 684,7 195.23,51 669 215
Võru maakond,1 834,8 820.06,42 455 419
KOKKU,51 78399 640,863 242 936 913,
